timestamp_lst,solar_irradiance_wh_m2,wind_speed_50m_m_s
2019-05-01T00:00:00,0.0,7.07
2019-05-01T01:00:00,0.0,5.86
2019-05-01T02:00:00,0.0,4.01
2019-05-01T03:00:00,0.0,2.2
2019-05-01T04:00:00,0.0,1.16
2019-05-01T05:00:00,0.0,2.4
2019-05-01T06:00:00,118.72,3.48
2019-05-01T07:00:00,333.8,2.96
2019-05-01T08:00:00,557.6,2.1
2019-05-01T09:00:00,755.65,2.28
2019-05-01T10:00:00,909.4,2.64
2019-05-01T11:00:00,1006.28,2.97
2019-05-01T12:00:00,1032.9,3.12
2019-05-01T13:00:00,997.12,3.12
2019-05-01T14:00:00,896.7,3.17
2019-05-01T15:00:00,740.72,3.12
2019-05-01T16:00:00,539.72,3.03
2019-05-01T17:00:00,305.27,3.03
2019-05-01T18:00:00,93.55,2.81
2019-05-01T19:00:00,0.0,2.6
2019-05-01T20:00:00,0.0,2.42
2019-05-01T21:00:00,0.0,2.26
2019-05-01T22:00:00,0.0,2.47
2019-05-01T23:00:00,0.0,2.54
2019-05-02T00:00:00,0.0,2.14
2019-05-02T01:00:00,0.0,1.81
2019-05-02T02:00:00,0.0,1.12
2019-05-02T03:00:00,0.0,0.34
2019-05-02T04:00:00,0.0,1.53
2019-05-02T05:00:00,0.0,2.4
2019-05-02T06:00:00,119.0,3.27
2019-05-02T07:00:00,323.4,3.31
2019-05-02T08:00:00,542.05,2.3
2019-05-02T09:00:00,658.62,1.9
2019-05-02T10:00:00,783.15,2.6
2019-05-02T11:00:00,854.55,3.42
2019-05-02T12:00:00,781.35,3.8
2019-05-02T13:00:00,562.83,3.9
2019-05-02T14:00:00,523.8,4.04
2019-05-02T15:00:00,435.4,4.05
2019-05-02T16:00:00,279.65,3.94
2019-05-02T17:00:00,149.0,3.64
2019-05-02T18:00:00,50.62,3.33
2019-05-02T19:00:00,0.0,2.96
2019-05-02T20:00:00,0.0,2.71
2019-05-02T21:00:00,0.0,2.7
2019-05-02T22:00:00,0.0,2.67
2019-05-02T23:00:00,0.0,2.44
2019-05-03T00:00:00,0.0,2.03
2019-05-03T01:00:00,0.0,1.95
2019-05-03T02:00:00,0.0,1.94
2019-05-03T03:00:00,0.0,2.45
2019-05-03T04:00:00,0.0,3.14
2019-05-03T05:00:00,0.0,3.92
2019-05-03T06:00:00,120.07,4.68
2019-05-03T07:00:00,331.6,3.96
2019-05-03T08:00:00,555.92,2.81
2019-05-03T09:00:00,753.6,1.98
2019-05-03T10:00:00,906.25,1.88
2019-05-03T11:00:00,1002.88,2.31
2019-05-03T12:00:00,1035.22,2.96
2019-05-03T13:00:00,998.65,3.28
2019-05-03T14:00:00,874.38,3.24
2019-05-03T15:00:00,740.45,3.08
2019-05-03T16:00:00,543.75,2.94
2019-05-03T17:00:00,315.23,2.89
2019-05-03T18:00:00,99.45,2.77
2019-05-03T19:00:00,0.0,2.66
2019-05-03T20:00:00,0.0,2.66
2019-05-03T21:00:00,0.0,2.86
2019-05-03T22:00:00,0.0,3.05
2019-05-03T23:00:00,0.0,2.94
2019-05-04T00:00:00,0.0,2.56
2019-05-04T01:00:00,0.0,2.06
2019-05-04T02:00:00,0.0,1.69
2019-05-04T03:00:00,0.0,1.74
2019-05-04T04:00:00,0.0,2.04
2019-05-04T05:00:00,0.0,2.58
2019-05-04T06:00:00,132.32,3.41
2019-05-04T07:00:00,347.3,3.39
2019-05-04T08:00:00,570.7,2.31
2019-05-04T09:00:00,765.38,2.45
2019-05-04T10:00:00,914.33,3.07
2019-05-04T11:00:00,1008.17,3.54
2019-05-04T12:00:00,1037.93,3.74
2019-05-04T13:00:00,1001.92,3.76
2019-05-04T14:00:00,891.75,3.62
2019-05-04T15:00:00,728.5,3.39
2019-05-04T16:00:00,525.2,3.19
2019-05-04T17:00:00,303.83,3.0
2019-05-04T18:00:00,97.55,2.71
2019-05-04T19:00:00,0.0,2.75
2019-05-04T20:00:00,0.0,3.04
2019-05-04T21:00:00,0.0,3.39
2019-05-04T22:00:00,0.0,3.81
2019-05-04T23:00:00,0.0,4.1
2019-05-05T00:00:00,0.0,4.12
2019-05-05T01:00:00,0.0,3.94
2019-05-05T02:00:00,0.0,3.15
2019-05-05T03:00:00,0.0,1.7
2019-05-05T04:00:00,0.0,0.73
2019-05-05T05:00:00,0.0,1.39
2019-05-05T06:00:00,133.0,2.64
2019-05-05T07:00:00,341.33,3.06
2019-05-05T08:00:00,562.22,2.7
2019-05-05T09:00:00,758.72,3.07
2019-05-05T10:00:00,900.12,3.7
2019-05-05T11:00:00,883.62,4.04
2019-05-05T12:00:00,1020.1,4.1
2019-05-05T13:00:00,962.35,3.99
2019-05-05T14:00:00,813.2,3.62
2019-05-05T15:00:00,557.3,3.05
2019-05-05T16:00:00,380.15,2.49
2019-05-05T17:00:00,196.57,1.92
2019-05-05T18:00:00,58.92,1.8
2019-05-05T19:00:00,0.0,2.34
2019-05-05T20:00:00,0.0,2.16
2019-05-05T21:00:00,0.0,1.6
2019-05-05T22:00:00,0.0,3.27
2019-05-05T23:00:00,0.0,5.7
2019-05-06T00:00:00,0.0,7.08
2019-05-06T01:00:00,0.0,6.98
2019-05-06T02:00:00,0.0,6.0
2019-05-06T03:00:00,0.0,5.25
2019-05-06T04:00:00,0.0,5.18
2019-05-06T05:00:00,2.65,5.05
2019-05-06T06:00:00,68.38,4.48
2019-05-06T07:00:00,198.45,3.94
2019-05-06T08:00:00,352.45,3.88
2019-05-06T09:00:00,439.23,4.27
2019-05-06T10:00:00,709.4,4.95
2019-05-06T11:00:00,830.53,5.48
2019-05-06T12:00:00,781.35,5.61
2019-05-06T13:00:00,779.9,5.44
2019-05-06T14:00:00,850.2,5.04
2019-05-06T15:00:00,679.42,4.54
2019-05-06T16:00:00,458.55,3.91
2019-05-06T17:00:00,268.9,3.81
2019-05-06T18:00:00,95.78,4.53
2019-05-06T19:00:00,0.0,5.2
2019-05-06T20:00:00,0.0,5.75
2019-05-06T21:00:00,0.0,6.24
2019-05-06T22:00:00,0.0,6.86
2019-05-06T23:00:00,0.0,7.02
2019-05-07T00:00:00,0.0,6.14
2019-05-07T01:00:00,0.0,5.4
2019-05-07T02:00:00,0.0,4.94
2019-05-07T03:00:00,0.0,4.35
2019-05-07T04:00:00,0.0,3.73
2019-05-07T05:00:00,2.78,3.15
2019-05-07T06:00:00,82.5,2.6
2019-05-07T07:00:00,239.12,2.78
2019-05-07T08:00:00,385.25,2.93
2019-05-07T09:00:00,580.15,3.07
2019-05-07T10:00:00,851.0,3.35
2019-05-07T11:00:00,971.7,3.73
2019-05-07T12:00:00,992.25,4.24
2019-05-07T13:00:00,896.83,4.22
2019-05-07T14:00:00,809.28,3.86
2019-05-07T15:00:00,698.25,3.6
2019-05-07T16:00:00,526.72,3.03
2019-05-07T17:00:00,312.3,2.3
2019-05-07T18:00:00,108.78,1.07
2019-05-07T19:00:00,0.0,1.08
2019-05-07T20:00:00,0.0,2.88
2019-05-07T21:00:00,0.0,3.98
2019-05-07T22:00:00,0.0,4.34
2019-05-07T23:00:00,0.0,4.38
2019-05-08T00:00:00,0.0,4.29
2019-05-08T01:00:00,0.0,3.98
2019-05-08T02:00:00,0.0,3.85
2019-05-08T03:00:00,0.0,4.07
2019-05-08T04:00:00,0.0,4.36
2019-05-08T05:00:00,3.67,3.2
2019-05-08T06:00:00,105.28,3.15
2019-05-08T07:00:00,289.42,4.21
2019-05-08T08:00:00,484.55,3.87
2019-05-08T09:00:00,732.28,1.64
2019-05-08T10:00:00,877.4,1.92
2019-05-08T11:00:00,965.05,3.27
2019-05-08T12:00:00,962.6,4.44
2019-05-08T13:00:00,938.0,5.3
2019-05-08T14:00:00,833.7,5.61
2019-05-08T15:00:00,645.4,5.56
2019-05-08T16:00:00,433.6,5.27
2019-05-08T17:00:00,254.8,4.6
2019-05-08T18:00:00,90.47,2.52
2019-05-08T19:00:00,0.0,1.76
2019-05-08T20:00:00,0.0,2.97
2019-05-08T21:00:00,0.0,3.96
2019-05-08T22:00:00,0.0,4.85
2019-05-08T23:00:00,0.0,5.85
2019-05-09T00:00:00,0.0,6.58
2019-05-09T01:00:00,0.0,6.93
2019-05-09T02:00:00,0.0,6.98
2019-05-09T03:00:00,0.0,7.09
2019-05-09T04:00:00,0.0,7.27
2019-05-09T05:00:00,4.32,7.48
2019-05-09T06:00:00,114.25,6.84
2019-05-09T07:00:00,309.8,5.11
2019-05-09T08:00:00,512.58,4.38
2019-05-09T09:00:00,698.58,3.55
2019-05-09T10:00:00,833.2,3.22
2019-05-09T11:00:00,926.5,3.04
2019-05-09T12:00:00,864.33,3.11
2019-05-09T13:00:00,792.65,3.52
2019-05-09T14:00:00,670.97,4.08
2019-05-09T15:00:00,523.28,4.81
2019-05-09T16:00:00,342.48,5.65
2019-05-09T17:00:00,193.25,6.36
2019-05-09T18:00:00,69.53,6.81
2019-05-09T19:00:00,0.0,7.07
2019-05-09T20:00:00,0.0,6.82
2019-05-09T21:00:00,0.0,6.33
2019-05-09T22:00:00,0.0,6.21
