timestamp_utc,local_date,local_hour,local_time_end,delivery_date,hour_ending,repeated_hour_flag,dam_lz_houston_usd_per_mwh,erco_solar_generation_mwh,erco_wind_generation_mwh,erco_consumed_co2_intensity_lbs_per_kwh
2025-01-01T07:00:00Z,2025-01-01,1,01:00:00,2025-01-01,01:00,N,22.87,1.0,14370.0,0.730067595266256
2025-01-01T08:00:00Z,2025-01-01,2,02:00:00,2025-01-01,02:00,N,20.93,1.0,14889.0,0.7048832273176873
2025-01-01T09:00:00Z,2025-01-01,3,03:00:00,2025-01-01,03:00,N,20.13,1.0,15307.0,0.685478911175992
2025-01-01T10:00:00Z,2025-01-01,4,04:00:00,2025-01-01,04:00,N,21.28,1.0,15026.0,0.6912357073880475
2025-01-01T11:00:00Z,2025-01-01,5,05:00:00,2025-01-01,05:00,N,21.34,1.0,14532.0,0.705828106593951
2025-01-01T12:00:00Z,2025-01-01,6,06:00:00,2025-01-01,06:00,N,23.68,1.0,13817.0,0.7379279041539478
2025-01-01T13:00:00Z,2025-01-01,7,07:00:00,2025-01-01,07:00,N,25.37,1.0,13887.0,0.738779543931105
2025-01-01T14:00:00Z,2025-01-01,8,08:00:00,2025-01-01,08:00,N,29.47,429.0,12591.0,0.7461308554596849
2025-01-01T15:00:00Z,2025-01-01,9,09:00:00,2025-01-01,09:00,N,22.45,7641.0,9980.0,0.665597769946544
2025-01-01T16:00:00Z,2025-01-01,10,10:00:00,2025-01-01,10:00,N,18.77,16646.0,7871.0,0.5035856734615377
2025-01-01T17:00:00Z,2025-01-01,11,11:00:00,2025-01-01,11:00,N,17.17,18605.0,7716.0,0.46187521407407767
2025-01-01T18:00:00Z,2025-01-01,12,12:00:00,2025-01-01,12:00,N,16.62,18483.0,6780.0,0.47591900282754024
2025-01-01T19:00:00Z,2025-01-01,13,13:00:00,2025-01-01,13:00,N,16.62,17901.0,5885.0,0.4978754671170335
2025-01-01T20:00:00Z,2025-01-01,14,14:00:00,2025-01-01,14:00,N,15.44,18146.0,5309.0,0.5034346918565331
2025-01-01T21:00:00Z,2025-01-01,15,15:00:00,2025-01-01,15:00,N,14.34,18329.0,4986.0,0.5042215687528422
2025-01-01T22:00:00Z,2025-01-01,16,16:00:00,2025-01-01,16:00,N,14.99,17581.0,5057.0,0.5093511952787264
2025-01-01T23:00:00Z,2025-01-01,17,17:00:00,2025-01-01,17:00,N,21.28,10455.0,5274.0,0.6672158608816607
2025-01-02T00:00:00Z,2025-01-01,18,18:00:00,2025-01-01,18:00,N,36.66,1240.0,4728.0,0.9155238391396476
2025-01-02T01:00:00Z,2025-01-01,19,19:00:00,2025-01-01,19:00,N,33.08,1.0,4773.0,0.9622129599530794
2025-01-02T02:00:00Z,2025-01-01,20,20:00:00,2025-01-01,20:00,N,29.66,1.0,5711.0,1.0026708217529063
2025-01-02T03:00:00Z,2025-01-01,21,21:00:00,2025-01-01,21:00,N,26.17,1.0,7627.0,0.9883850373601749
2025-01-02T04:00:00Z,2025-01-01,22,22:00:00,2025-01-01,22:00,N,19.72,1.0,9278.0,0.9617499809414941
2025-01-02T05:00:00Z,2025-01-01,23,23:00:00,2025-01-01,23:00,N,19.59,1.0,11974.0,0.904024410894484
2025-01-02T06:00:00Z,2025-01-01,24,00:00:00,2025-01-01,24:00,N,18.01,1.0,15699.0,0.7852387699277754
2025-01-02T07:00:00Z,2025-01-02,1,01:00:00,2025-01-02,01:00,N,20.14,1.0,17268.0,0.704972546870165
2025-01-02T08:00:00Z,2025-01-02,2,02:00:00,2025-01-02,02:00,N,17.9,1.0,18286.0,0.6571253879072855
2025-01-02T09:00:00Z,2025-01-02,3,03:00:00,2025-01-02,03:00,N,16.69,1.0,18311.0,0.6554757728506694
2025-01-02T10:00:00Z,2025-01-02,4,04:00:00,2025-01-02,04:00,N,17.02,1.0,18025.0,0.6609155716440587
2025-01-02T11:00:00Z,2025-01-02,5,05:00:00,2025-01-02,05:00,N,18.21,1.0,18047.0,0.6689701116737536
2025-01-02T12:00:00Z,2025-01-02,6,06:00:00,2025-01-02,06:00,N,23.28,1.0,18228.0,0.6905664572293464
2025-01-02T13:00:00Z,2025-01-02,7,07:00:00,2025-01-02,07:00,N,23.65,1.0,17475.0,0.7578007481160317
2025-01-02T14:00:00Z,2025-01-02,8,08:00:00,2025-01-02,08:00,N,26.79,172.0,17130.0,0.781213276311233
2025-01-02T15:00:00Z,2025-01-02,9,09:00:00,2025-01-02,09:00,N,22.77,4448.0,15987.0,0.7182215670157014
2025-01-02T16:00:00Z,2025-01-02,10,10:00:00,2025-01-02,10:00,N,20.44,10796.0,12229.0,0.6214240771826414
2025-01-02T17:00:00Z,2025-01-02,11,11:00:00,2025-01-02,11:00,N,19.54,12375.0,8747.0,0.6771865459377107
2025-01-02T18:00:00Z,2025-01-02,12,12:00:00,2025-01-02,12:00,N,19.67,12669.0,6924.0,0.7057270460901452
2025-01-02T19:00:00Z,2025-01-02,13,13:00:00,2025-01-02,13:00,N,20.08,12334.0,5713.0,0.7485225856015656
2025-01-02T20:00:00Z,2025-01-02,14,14:00:00,2025-01-02,14:00,N,20.13,12063.0,4467.0,0.7859513975231012
2025-01-02T21:00:00Z,2025-01-02,15,15:00:00,2025-01-02,15:00,N,20.81,12452.0,3342.0,0.8021279045363106
2025-01-02T22:00:00Z,2025-01-02,16,16:00:00,2025-01-02,16:00,N,20.6,11526.0,2572.0,0.8448095057679462
2025-01-02T23:00:00Z,2025-01-02,17,17:00:00,2025-01-02,17:00,N,25.28,7623.0,2466.0,0.91489669225375
