hour,solar_irradiance_wh_m2,wind_speed_50m_m_s,solar_available_mw,wind_available_mw,tou_period,electricity_price_cny_per_kwh
0,0.0,4.6189285714285715,0.0,0.495302356938964,valley,0.1804
1,0.0,4.271428571428571,0.0,0.4090714802076409,valley,0.1804
2,0.0,3.9310714285714288,0.0,0.3121329284789106,valley,0.1804
3,0.0,3.544642857142857,0.0,0.24978226495726494,valley,0.1804
4,0.0,3.4146428571428573,0.0,0.25220761396207825,valley,0.1804
5,6.389642857142857,3.5717857142857143,0.019168928571428573,0.28585785019222515,valley,0.1804
6,128.6042857142857,3.7032142857142856,0.3858128571428571,0.28365557074441,valley,0.1804
7,324.93142857142857,3.531428571428571,0.9747942857142856,0.23787814060135484,valley,0.1804
8,528.8907142857144,3.3467857142857143,1.5866721428571429,0.2660311204012097,flat,0.4489
9,702.3564285714285,3.422857142857143,2.1070692857142856,0.3718019070483356,peak,0.7174
10,860.1110714285714,3.887857142857143,2.5803332142857145,0.5311602357852357,peak,0.7174
11,936.8153571428572,4.404642857142857,2.79702,0.6694411855291319,peak,0.7174
12,955.3403571428571,4.791071428571429,2.8133989285714285,0.7793258467012931,peak,0.7174
13,900.25,4.975357142857143,2.6895214285714286,0.836594683724148,flat,0.4489
14,812.5235714285715,4.9925,2.4375707142857146,0.875719881356042,flat,0.4489
15,673.2417857142857,4.927142857142857,2.0197253571428573,0.9068438348719597,flat,0.4489
16,470.19892857142855,4.8125,1.4105967857142858,0.9119444377265806,flat,0.4489
17,276.7142857142857,4.640714285714286,0.8301428571428572,0.870535877871592,flat,0.4489
18,101.21214285714287,4.416071428571429,0.3036364285714286,0.7742888470200969,peak,0.7174
19,2.7089285714285714,4.4817857142857145,0.008126785714285715,0.765250436484365,peak,0.7174
20,0.0,4.636071428571428,0.0,0.7266433802228445,peak,0.7174
21,0.0,4.724285714285714,0.0,0.7361292724877545,peak,0.7174
22,0.0,4.767142857142857,0.0,0.6347201460339853,peak,0.7174
23,0.0,4.696071428571429,0.0,0.5193327850466243,flat,0.4489
