window_id,window_hour,period_role,interval_start_utc,interval_end_utc,local_date,dam_lz_houston_usd_per_mwh,erco_solar_generation_mwh,erco_wind_generation_mwh,erco_consumed_co2_intensity_lbs_per_kwh,forecast_cutoff_utc,forecast_method,forecast_erco_solar_generation_mwh,forecast_erco_wind_generation_mwh,forecast_consumed_co2_lbs_per_kwh
2025-10-01_30d_d168_h3,0,context,2025-09-24T02:00:00Z,2025-09-24T03:00:00Z,2025-09-23,48.78,0.0,14184.0,0.886451149526115,,,,,
2025-10-01_30d_d168_h3,1,context,2025-09-24T03:00:00Z,2025-09-24T04:00:00Z,2025-09-23,44.49,0.0,15361.0,0.8645434769148764,,,,,
2025-10-01_30d_d168_h3,2,context,2025-09-24T04:00:00Z,2025-09-24T05:00:00Z,2025-09-23,37.98,0.0,15402.0,0.8495950580802623,,,,,
2025-10-01_30d_d168_h3,3,context,2025-09-24T05:00:00Z,2025-09-24T06:00:00Z,2025-09-24,31.0,0.0,15374.0,0.8449637145221445,,,,,
2025-10-01_30d_d168_h3,4,context,2025-09-24T06:00:00Z,2025-09-24T07:00:00Z,2025-09-24,27.76,1.0,14761.0,0.8445074705172918,,,,,
2025-10-01_30d_d168_h3,5,context,2025-09-24T07:00:00Z,2025-09-24T08:00:00Z,2025-09-24,24.89,1.0,14393.0,0.8464261680997224,,,,,
2025-10-01_30d_d168_h3,6,context,2025-09-24T08:00:00Z,2025-09-24T09:00:00Z,2025-09-24,23.86,1.0,14624.0,0.8357807488933604,,,,,
2025-10-01_30d_d168_h3,7,context,2025-09-24T09:00:00Z,2025-09-24T10:00:00Z,2025-09-24,24.4,1.0,14253.0,0.8336048752339783,,,,,
2025-10-01_30d_d168_h3,8,context,2025-09-24T10:00:00Z,2025-09-24T11:00:00Z,2025-09-24,25.79,1.0,12405.0,0.8824862294852933,,,,,
2025-10-01_30d_d168_h3,9,context,2025-09-24T11:00:00Z,2025-09-24T12:00:00Z,2025-09-24,29.05,1.0,11424.0,0.8906879668955926,,,,,
2025-10-01_30d_d168_h3,10,context,2025-09-24T12:00:00Z,2025-09-24T13:00:00Z,2025-09-24,29.51,516.0,10945.0,0.8991232552561207,,,,,
2025-10-01_30d_d168_h3,11,context,2025-09-24T13:00:00Z,2025-09-24T14:00:00Z,2025-09-24,24.22,6371.0,10052.0,0.8294922306149023,,,,,
2025-10-01_30d_d168_h3,12,context,2025-09-24T14:00:00Z,2025-09-24T15:00:00Z,2025-09-24,24.03,10809.0,11747.0,0.7362656132149556,,,,,
2025-10-01_30d_d168_h3,13,context,2025-09-24T15:00:00Z,2025-09-24T16:00:00Z,2025-09-24,25.97,12159.0,12558.0,0.706077473316685,,,,,
2025-10-01_30d_d168_h3,14,context,2025-09-24T16:00:00Z,2025-09-24T17:00:00Z,2025-09-24,30.55,13962.0,10050.0,0.7269930577607534,,,,,
2025-10-01_30d_d168_h3,15,context,2025-09-24T17:00:00Z,2025-09-24T18:00:00Z,2025-09-24,33.5,15915.0,8792.0,0.7364916454355404,,,,,
2025-10-01_30d_d168_h3,16,context,2025-09-24T18:00:00Z,2025-09-24T19:00:00Z,2025-09-24,36.47,16927.0,7442.0,0.7492665453810621,,,,,
2025-10-01_30d_d168_h3,17,context,2025-09-24T19:00:00Z,2025-09-24T20:00:00Z,2025-09-24,38.95,18157.0,7040.0,0.742366180780738,,,,,
2025-10-01_30d_d168_h3,18,context,2025-09-24T20:00:00Z,2025-09-24T21:00:00Z,2025-09-24,41.41,19131.0,7583.0,0.7101936191932866,,,,,
2025-10-01_30d_d168_h3,19,context,2025-09-24T21:00:00Z,2025-09-24T22:00:00Z,2025-09-24,35.72,16956.0,8409.0,0.7423554628478378,,,,,
2025-10-01_30d_d168_h3,20,context,2025-09-24T22:00:00Z,2025-09-24T23:00:00Z,2025-09-24,32.06,13898.0,9436.0,0.7758889458074905,,,,,
2025-10-01_30d_d168_h3,21,context,2025-09-24T23:00:00Z,2025-09-25T00:00:00Z,2025-09-24,42.6,6982.0,9635.0,0.8444761562805242,,,,,
2025-10-01_30d_d168_h3,22,context,2025-09-25T00:00:00Z,2025-09-25T01:00:00Z,2025-09-24,45.02,449.0,8850.0,0.9011698674829471,,,,,
2025-10-01_30d_d168_h3,23,context,2025-09-25T01:00:00Z,2025-09-25T02:00:00Z,2025-09-24,45.16,0.0,9791.0,0.931613599720337,,,,,
2025-10-01_30d_d168_h3,24,context,2025-09-25T02:00:00Z,2025-09-25T03:00:00Z,2025-09-24,40.0,1.0,9354.0,0.9692562360075617,,,,,
2025-10-01_30d_d168_h3,25,context,2025-09-25T03:00:00Z,2025-09-25T04:00:00Z,2025-09-24,33.55,1.0,8889.0,0.9865113471744766,,,,,
2025-10-01_30d_d168_h3,26,context,2025-09-25T04:00:00Z,2025-09-25T05:00:00Z,2025-09-24,28.55,1.0,8649.0,0.9947405433195514,,,,,
2025-10-01_30d_d168_h3,27,context,2025-09-25T05:00:00Z,2025-09-25T06:00:00Z,2025-09-25,29.62,1.0,7551.0,1.0094831436008511,,,,,
2025-10-01_30d_d168_h3,28,context,2025-09-25T06:00:00Z,2025-09-25T07:00:00Z,2025-09-25,29.76,1.0,6590.0,1.025513683607656,,,,,
2025-10-01_30d_d168_h3,29,context,2025-09-25T07:00:00Z,2025-09-25T08:00:00Z,2025-09-25,28.56,1.0,6365.0,1.027032072688214,,,,,
2025-10-01_30d_d168_h3,30,context,2025-09-25T08:00:00Z,2025-09-25T09:00:00Z,2025-09-25,28.23,1.0,5535.0,1.0517234178000956,,,,,
2025-10-01_30d_d168_h3,31,context,2025-09-25T09:00:00Z,2025-09-25T10:00:00Z,2025-09-25,29.15,1.0,4936.0,1.0659784050617869,,,,,
2025-10-01_30d_d168_h3,32,context,2025-09-25T10:00:00Z,2025-09-25T11:00:00Z,2025-09-25,32.05,1.0,4499.0,1.0749679541438277,,,,,
2025-10-01_30d_d168_h3,33,context,2025-09-25T11:00:00Z,2025-09-25T12:00:00Z,2025-09-25,35.02,1.0,4345.0,1.0478916818863178,,,,,
2025-10-01_30d_d168_h3,34,context,2025-09-25T12:00:00Z,2025-09-25T13:00:00Z,2025-09-25,34.48,629.0,4161.0,1.0453851871245596,,,,,
2025-10-01_30d_d168_h3,35,context,2025-09-25T13:00:00Z,2025-09-25T14:00:00Z,2025-09-25,25.93,10061.0,3264.0,0.8858828105810068,,,,,
2025-10-01_30d_d168_h3,36,context,2025-09-25T14:00:00Z,2025-09-25T15:00:00Z,2025-09-25,20.42,22101.0,1571.0,0.6831224343874733,,,,,
2025-10-01_30d_d168_h3,37,context,2025-09-25T15:00:00Z,2025-09-25T16:00:00Z,2025-09-25,19.94,25614.0,1218.0,0.6419540715941717,,,,,
2025-10-01_30d_d168_h3,38,context,2025-09-25T16:00:00Z,2025-09-25T17:00:00Z,2025-09-25,20.88,26566.0,1339.0,0.6374863966010063,,,,,
2025-10-01_30d_d168_h3,39,context,2025-09-25T17:00:00Z,2025-09-25T18:00:00Z,2025-09-25,23.04,26098.0,1405.0,0.6722467763986768,,,,,
2025-10-01_30d_d168_h3,40,context,2025-09-25T18:00:00Z,2025-09-25T19:00:00Z,2025-09-25,27.46,26072.0,1617.0,0.7028342985394378,,,,,
2025-10-01_30d_d168_h3,41,context,2025-09-25T19:00:00Z,2025-09-25T20:00:00Z,2025-09-25,29.89,25156.0,1963.0,0.7325562831063763,,,,,
2025-10-01_30d_d168_h3,42,context,2025-09-25T20:00:00Z,2025-09-25T21:00:00Z,2025-09-25,32.07,24193.0,2487.0,0.7432952073980448,,,,,
2025-10-01_30d_d168_h3,43,context,2025-09-25T21:00:00Z,2025-09-25T22:00:00Z,2025-09-25,32.95,22915.0,2809.0,0.7561047971835375,,,,,
2025-10-01_30d_d168_h3,44,context,2025-09-25T22:00:00Z,2025-09-25T23:00:00Z,2025-09-25,35.87,20240.0,2190.0,0.7961323064274323,,,,,
2025-10-01_30d_d168_h3,45,context,2025-09-25T23:00:00Z,2025-09-26T00:00:00Z,2025-09-25,66.92,9384.0,1533.0,0.9099717741747598,,,,,
2025-10-01_30d_d168_h3,46,context,2025-09-26T00:00:00Z,2025-09-26T01:00:00Z,2025-09-25,81.02,518.0,1137.0,0.9869160962811664,,,,,
2025-10-01_30d_d168_h3,47,context,2025-09-26T01:00:00Z,2025-09-26T02:00:00Z,2025-09-25,75.81,0.0,1389.0,1.0253511917433336,,,,,
